,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
0,1,Laraine,Medendorp,Female,93,1953-10-12,Health,Mass Customer,N,Yes,11.0
1,2,Eli,Bockman,Male,81,1980-12-16,Financial Services,Mass Customer,N,Yes,16.0
2,3,Arlin,Dearle,Male,61,1954-01-20,Property,Mass Customer,N,Yes,15.0
3,4,Talbot,LN_unkown,Male,33,1961-10-03,IT,Mass Customer,N,No,7.0
4,6,Curr,Duckhouse,Male,35,1966-09-16,Retail,High Net Worth,N,Yes,13.0
5,7,Fina,Merali,Female,6,1976-02-23,Financial Services,Affluent Customer,N,Yes,11.0
6,9,Mala,Lind,Female,97,1973-03-10,Argiculture,Affluent Customer,N,Yes,8.0
7,10,Fiorenze,Birdall,Female,49,1988-10-11,Financial Services,Mass Customer,N,Yes,20.0
8,11,Uriah,Bisatt,Male,99,1954-04-30,Property,Mass Customer,N,No,9.0
9,12,Sawyere,Flattman,Male,58,1994-07-21,Manufacturing,Mass Customer,N,No,8.0
10,13,Gabriele,Norcross,Male,38,1955-02-15,Financial Services,High Net Worth,N,Yes,8.0
11,14,Rayshell,Kitteman,Female,85,1983-03-25,Financial Services,Affluent Customer,N,No,6.0
12,15,Erroll,Radage,Male,91,2000-07-13,Manufacturing,Mass Customer,N,No,1.0
13,19,Sorcha,Keyson,Female,76,2001-04-15,Manufacturing,High Net Worth,N,No,1.0
14,20,Basile,Firth,Male,72,1980-08-13,Manufacturing,Mass Customer,N,No,11.0
15,21,Mile,Cammocke,Male,74,1980-09-20,Manufacturing,Affluent Customer,N,Yes,16.0
16,22,Deeanne,Durtnell,Female,79,1962-12-10,IT,Mass Customer,N,No,11.0
17,24,Kim,Skpsey,Female,55,1977-12-03,Argiculture,Mass Customer,N,Yes,15.0
18,25,Geoff,Assaf,Male,72,1976-12-02,Financial Services,Mass Customer,N,Yes,21.0
19,26,Trixi,Ginnelly,Female,12,1978-06-10,Financial Services,Mass Customer,N,Yes,16.0
20,27,Garvin,Klees,Male,37,1978-09-25,Health,Mass Customer,N,Yes,12.0
21,28,Fee,Zellmer,Male,5,1973-09-30,Health,Affluent Customer,N,Yes,21.0
22,29,Mona,Sancraft,Female,62,1968-06-22,Manufacturing,Mass Customer,N,No,19.0
23,30,Darrick,Helleckas,Male,18,1961-10-18,IT,Affluent Customer,N,Yes,6.0
24,31,Star,Praton,Female,3,1962-11-24,Telecommunications,High Net Worth,N,Yes,14.0
25,32,Marion,Vanichkin,Female,17,1995-04-20,Manufacturing,Affluent Customer,N,No,4.0
26,34,Jephthah,Bachmann,U,59,1843-12-21,IT,Affluent Customer,N,No,20.0
27,35,Margaretha,Strettle,Female,40,1963-09-28,Health,High Net Worth,N,Yes,16.0
28,37,Laurie,Dwerryhouse,Female,46,1985-12-22,Health,High Net Worth,N,No,16.0
29,38,Cordi,Merman,Female,37,1955-10-29,Financial Services,Affluent Customer,N,No,20.0
30,39,Hunfredo,Smalley,Male,5,1979-04-16,Entertainment,Mass Customer,N,No,22.0
31,40,Tomasine,Jerche,Female,91,1981-10-27,Manufacturing,Affluent Customer,N,No,14.0
32,41,Basilius,Coupe,Male,64,1976-04-14,Health,Mass Customer,N,No,16.0
33,42,Chiquita,Durnall,Female,24,1977-03-28,Manufacturing,Mass Customer,N,No,18.0
34,43,Indira,Belt,Female,38,1983-03-01,Retail,Mass Customer,N,No,5.0
35,44,Neron,Verick,Male,63,1981-10-18,Entertainment,Affluent Customer,N,Yes,17.0
36,45,Trace,Woodhead,Male,64,1975-09-23,Financial Services,Mass Customer,N,No,8.0
37,47,Matthew,Jeaycock,Male,51,1992-10-22,Health,Affluent Customer,N,No,2.0
38,50,Whitby,Schapero,Male,38,1980-10-01,Manufacturing,Mass Customer,N,Yes,16.0
39,51,Fidelio,Dilke,Male,68,1959-12-05,Retail,Mass Customer,N,No,18.0
40,52,Curran,Bentson,Male,57,1988-06-22,Financial Services,Mass Customer,N,Yes,13.0
41,53,Agnella,Gocke,Female,22,1954-04-18,Financial Services,Mass Customer,N,No,16.0
42,54,Loralyn,Wonfor,Female,2,1966-07-24,Property,Mass Customer,N,Yes,18.0
43,55,Linc,Jillions,Male,48,1956-09-24,Financial Services,Affluent Customer,N,Yes,7.0
44,56,Reese,Ensor,Male,44,1996-07-04,Property,Mass Customer,N,Yes,4.0
45,58,Dalenna,Pinnock,Female,26,1967-07-04,Financial Services,Affluent Customer,N,Yes,17.0
46,60,Nadiya,Champerlen,Female,18,1970-02-04,Manufacturing,Mass Customer,N,No,10.0
47,61,Kacey,Rowbottom,Female,47,1959-11-29,Property,High Net Worth,N,No,13.0
